ID Ticket GENERGY ;TYPE;ELEMENT;Description;Acteur;Catégorie ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
INC001011103761;AERO ;FIBRE IHM-FTTE;"IMB non trouvé dans AERO mais éligible dans autres applications.
Exemple ci-dessous avec IMB : IMB/73099/X/005Z";Akram Sahli ;Bug;Résolu;P3;"Un bug a été identifié dans le calcul de l’éligibilité pour certaines adresses.
Une investigation a été menée afin d’apporter une correction définitive et éviter que ce type de problème ne se reproduise pour d’autres adresses.";17/03/2026;23/03/2026;5;AERO-5147
INC001011105725;AERO ;FIBRE IHM-FTTE;"Code IMB IMB/85151/X/03PB Code IPE IMB/85151/X/01NZ
Dans Achil l'immeuble n'est pas bloqué
Dans Aero il apparait bloqué";Akram Sahli ;Bug;Résolu;P2;"Un bug a été identifié dans le calcul de l’éligibilité pour certaines adresses.
Une investigation a été menée afin d’apporter une correction définitive et éviter que ce type de problème ne se reproduise pour d’autres adresses.";18/03/2026;23/03/2026;4;AERO-5147
INC001011109608;AERO ;FIBRE IHM-FTTE;"Les sites suivants ne sont plus éligibles FTTE depuis le début du mois mars 
IMB/60395/X/02TV 1 RUE DU 11 MAI 1967 60110, MERU
IMB/60211/X/0079 1 LA FOSSE MOSTELLE 60590, ERAGNY SUR EPTE
IMB/60130/X/0052 1 RUE DU TROU BLEUET 60840, CATENOY";Akram Sahli ;Bug;Résolu;P3;"Un bug a été identifié dans le calcul de l’éligibilité pour certaines adresses.
Une investigation a été menée afin d’apporter une correction définitive et éviter que ce type de problème ne se reproduise pour d’autres adresses.";20/03/2026;23/03/2026;2;AERO-5147
mail ;AERO GP;MESSAGE D'ERREUR OU RESULTAT INATENDU;Les opérateurs SFR et BYT n’apparaissent pas dans l’infobulle avec les autres opérateurs sur la carte interactive malgré la présence des données en base.;Akram Sahli ;Bug;Résolu;P3;Il s’agissait d’un bug de notre côté, qui vient d’être corrigé. La situation est désormais rétablie et les logos sont de nouveau disponibles.;01/04/2026;09/04/2026;7;AERO-5153
INC001011134257;AERO ;FIBRE IHM-FTTO;Suite à la mise à jour d'Orange du 1er avril, je constate que la disponibilité >1G FTTO a été améliorée, en revanche celle du FTTE a été dégradée non seulement par rapport à la version précédente mais en plus par rapport au FTTO (c'était l'inverse dans la version précédente, la dispo des débits >1G  FTTE était > à FTTO...).;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;"La clarification concernant ce point est disponible dans les échanges du mail qui on été transmis en pièce jointe.
À noter que HORUS a également été sollicité par mail sur ce sujet.";07/04/2026;08/04/2026 00:00;2;
INC001011135483;AERO ;FIBRE IHM-FTTE;"Le FAI voudrait passer commande pour son client sur de l'infrastructure d'un OI TIERS l'IMB/54357/X/00L6 ; GNY-SITE-10HSG. Après analyse sur les appli du SI Achil, Optimum et Récif : aucun blocage identifié, zones déployées et éligibles mais sur Aero il est à l'état non déployé, ce que qui bloque le passage de commande du FAI.";Akram Sahli ;Demande d'assistance;Résolu;P2;"Cette IMB n’est pas éligible, car les offres Optimum Ethernet ne sont pas ouvertes pour l’OI 0GNY.
Un mail en pièce jointe relatif à la dernière mise à jour de la liste des OI tiers ouverts à la commercialisation des offres Optimum Ethernet à compter du 5 mai.
Par ailleurs, les offres FTTH Access et Just Fibre ne sont également pas ouvertes pour l’OI 0GNY.";08/04/2026;08/04/2026;1;
INC001011136135;AERO ;FIBRE IHM-FTTH;Nous ne pouvons pas commander une FTTH pour notre client. j'arrive a renseigner tous les informations et quand je valide le RDV cela met demande ne peut aboutir , erreur inattendue.;Akram Sahli ;Information Manquante;Résolu;P3;"La demande manque de quelques informations pour nous permettre d’analyser le problème.
merci de nous transmettre davantage de détails, notamment :
le code IMB
le message d’erreur exact
une capture d’écran du blocage rencontré";08/04/2026;08/04/2026;1;
INC001011147495;AERO ;FIBRE IHM-FTTH;IMB/75120/C/4308 est éligible sur l'Arcep, sur nos outils interne Optimum et Elimap sur nos offres FTTH ACCESS et just fibre. En revanche, sur Aero l'adresse ressort non déployé.;Akram Sahli ;Demande d'assistance;Résolu;P2;Cette IMB n’est pas éligible, car les offres FTTH Access et Just Fibre ne sont pas ouvertes pour l’OI FREE.;16/04/2026;16/04/2026 00:00;1;
INC001011155454;AERO ;FIBRE IHM-FTTE;IMB/35137/X/00AA (IMB/35137/X/0013) au 3 Rue Eugene Freyssinet 35133 Javene est éligible dans notre SI sauf dans Aero.;Akram Sahli ;Bug;Résolu;P2;"Nous confirmons qu’un bug a été identifié dans le calcul de l’éligibilité pour certaines adresses.
Une investigation a été menée afin d’apporter une correction définitive et éviter que ce type de problème ne se reproduise pour d’autres adresses.
Le résultat d’éligibilité est désormais correct.";21/04/2026;22/04/2026;2;AERO-5192
INC001011155458;AERO ;FIBRE IHM-FTTE;IMB/35177/X/022M (IMB/35177/X/01GF) au 12 Rue Du Sureau 35520 La Meziere N6 est éligible dans notre SI sauf dans Aero.;Akram Sahli ;Bug;Résolu;P2;"Nous confirmons qu’un bug a été identifié dans le calcul de l’éligibilité pour certaines adresses.
Une investigation a été menée afin d’apporter une correction définitive et éviter que ce type de problème ne se reproduise pour d’autres adresses.
Le résultat d’éligibilité est désormais correct.";21/04/2026;22/04/2026;2;AERO-5192
INC001011157535;AERO ;Orange-Eligibility KO;Cette nuit on a constate l'indisponibilite totale de webservice orange-Eligibility entre 00h18 et 08h40.;Akram Sahli ;Infrastructre;Résolu;P3;Les investigations montrent que les erreurs HTTP 408 observées sont liées à une dégradation des temps de réponse du service durant cette période. Cette dégradation est cohérente avec une saturation temporaire des ressources, ayant engendré des délais de traitement supérieurs aux seuils configurés.;22/04/2026;22/04/2026;1;
INC001011158673;AERO ;DONNEES ABSENTES OU INCORRECTES;je souhaite commander un accès optimum access sur cet IMB : IMB/18033/X/0HQZ, qui est relié dans vos bases a l'adresse : RUE MARCEL DASSAULT, 18000 BOURGES.Côté production, il me refuse cet IMB, car lié a la mauvaise adresse qui devrait être selon eux a Lieu dit ^Les Crevis^ BOURGES 18000;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;On a transféré le ticket vers ORAS pour traitement.;23/04/2026;23/04/2026 00:00;1;
INC001011158674;AERO ;DONNEES ABSENTES OU INCORRECTES;je souhaite commander un accès optimum access sur cet IMB : IMB/18033/X/0HQZ, qui est relié dans vos bases a l'adresse : RUE MARCEL DASSAULT, 18000 BOURGES.Côté production, il me refuse cet IMB, car lié a la mauvaise adresse qui devrait être selon eux a Lieu dit ^Les Crevis^ BOURGES 18000;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;On a transféré le ticket vers ORAS pour traitement.;23/04/2026;23/04/2026;1;
INC001011159499;AERO ;DONNEES ABSENTES OU INCORRECTES;Le code immeuble IMB/35296/X/003T est éligible à l'offre FTTH Access, AERO retourne une éligibilité OK, par contre aucune information technique n'est retournée pour cette adresse;Akram Sahli ;Bug;Résolu;P3;"Nous confirmons qu’un bug a été identifié dans l'affichage des informations techniques pour certaines adresses.
Le comportement a été corrigé pour les deux codes immeubles IMB/35296/X/003T et IMB/35177/X/01GF, suite à l’exécution du job de calcul d’éligibilité durant le week-end.";23/04/2026;27/04/2026 00:00;3;AERO-5195
INC001011164737;AERO ;FIBRE IHM-FTTH;Le client a l'adresse 71 Rue de Bitche, 57620 Goetzenbruck, code immeuble : BI-SC-E04203X4. Bâtiment : VERRIER GOURMAND. remonte comme éligible avec la possibilité de passer une commande pour une fibre FTTH, mais la commande tombe en échec a deux reprise.;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;Aucune incohérence sur le résultat de l’éligibilité. AERO ne gére pas les commandes.;05/05/2026;05/05/2026;1;
mail;AERO ;FIBRE IHM-FTTE;"Je constate que les IMB éligibles au FTTH sur le RIP KOUROU ne sont pas éligibles au FTTE actif.
L'IMB qui m'intéresse est IMB/97304/X/0EU7 mais le problème semble concerner tous les IMB de KOUROU Fibre. ";Akram Sahli ;Bug;Résolu;P3;Concernant le résultat d’éligibilité FTTH et FTTE, un correctif est actuellement en cours de déploiement. Le résultat sera corrigé demain matin.;12/05/2026;12/05/2026;1;
INC001011192351;AERO ;API;"Nous sommes en train de faire évoluer notre API pour s'interfacer avec votre API d'éligibilité operateurs. 
Nous avons bien réussi à nous connecter et récupérer les offres disponibles, en revanche, nous ne récupérons pas les prix et la durée d'engagement";Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;L'API d'éligibilité opérateurs ne fournit pas les prix ni la durée d'engagement.;19/05/2026;19/05/2026 00:00;1;
INC001011196816;AERO ;Orange-Eligibility KO;Cette nuit on a constate l'indisponibilité de service orange-eligibility. A partir de 23h53 21/05 on a les alarmes concernant les services différentes concernant l'egibility.;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;"Le probléme du ticket saisi est résolu 
Le service éligibilité Opérateur est rétabli depuis le 24/05 à 10h42";22/05/2026;25/05/2026;2;
INC001011197559;AERO ;FIBRE IHM-FTTE;"L'immeuble IMB/15135/X/0049 apparaît comme non éligible au FTTE actif alors qu'il est bien éligible au FTTH.
J'ai testé aléatoirement quelques autres immeubles sur ATHD : même constat.
Pour info, il y a eu un problème similaire sur Kourou fibre la semaine dernière.";Akram Sahli ;Bug;Résolu;P3;"Nous confirmons qu’un bug a été identifié dans le calcul d'éligibilité pour certaines adresses.
Le comportement a été corrigé pour le code immeuble IMB/15135/X/0049, suite à l’exécution du job de calcul d’éligibilité durant le week-end.";22/05/2026;25/05/2026;2;
INC001011198254;AERO ;Orange-Eligibility KO;Pourrions-nous avoir les informations sur l'avancement de l'incident sur les WS orange? Les WS orange sont toujours degrades depuis hier.;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;"Le probléme du ticket saisi est résolu. 
Les WS Orange sont rétablis depuis le 26/05 à 06h00.";26/05/2026;26/05/2026;1;
INC001011200847;AERO ;FIBRE IHM-FTTE;"Nous constatons ces derniers temps des problème d'éligibilité FTTE dans AERO. Il y a deux semaines sur KOUROU Fibre, la semaine dernière sur ADTH. A priori, nous constatons aussi ces problèmes sur les fichiers des IMB éligibles au FTTE Actif mis a disposition sur l'espace opérateur.
Nous avons comparé les fichiers 3 fichiers suivants : 16/03/2026, 20/04/2026 et 18/05/2026 et compté le nombre d'IMB par type de BLOM.";Akram Sahli ;Bug;Résolu;P2;Le problème lié à l’éligibilité FTTE dans AERO a été résolu.;27/05/2026;04/06/2026;7;
INC001011203468;AERO ;FIBRE IHM-FTTH;IMB/86082/X/01UK est éligible dans optimum et elimap mais pas dans Aero;Akram Sahli ;Bug;Résolu;P3;"Nous confirmons qu’un bug a été identifié dans le calcul d’éligibilité de certaines adresses, dû à un problème de données.
Le comportement a été corrigé pour le code immeuble IMB/86082/X/01UK, suite à l’exécution du job de calcul d’éligibilité durant le week-end.";29/05/2026;01/06/2026;2;
INC001011221303;AERO ;API;Quand je me connecte à mon espace via https://developer.orange.com/myapps/58ObryH3b3YvZONY , l'API place semble être accessible en API mais je ne la vois pas dans la liste de mes applications;Akram Sahli ;Hors perimètre d'AERO;Résolu;P3;Le ticket est saisi sur l’application AERO, cependant nous n'avons aucune incohérence sur le résultat retourné. À noter qu’AERO gère l’API d’éligibilité et ne prend pas en charge l’accès à l’API Place.;08/06/2026;09/06/2026;2;
INC001011226545;AERO ;MESSAGE D'ERREUR OU RESULTAT INATENDU;"Je rencontre un soucis sur une commande de  fibre FTTH ACCESS : VIA000000147142. Le client ne peut plus prendre RDV.
Après analyse, je me rends compte que l'IMB/97302/X/0DM1 n'est plus éligible dans AERO, alors que sur optimum Elimap et tout les autres appli nous n'avons aucun blocage déclarés.
L'IMB était éligible de base car le client a pu passer commande. 
PS: le message d'erreur sur Aero est : Une erreur inconnue est survenue, veuillez ré-essayer plus tard ou contacter le support.";Akram Sahli ;Bug;Résolu;P2;Le service éligibilité Opérateur est rétabli depuis le 11/06 à 11h;11/06/2026;11/06/2026;1;AERO-5279
INC001011226312;AERO ;MESSAGE D'ERREUR OU RESULTAT INATENDU;Nous avons une erreur  Une erreur inconnue est survenue, veuillez ré-essayer plus tard ou contacter le supportb lors de la consultation d'une adresse ou d'un IMB.;Akram Sahli ;Bug;Résolu;P3;Le service éligibilité Opérateur est rétabli depuis le 11/06 à 11h;11/06/2026;11/06/2026;1;AERO-5279
INC001011232773;AERO ;Orange-Eligibility KO;Degradation sur le service orange_TAO-FTEL_ObtentionStructureAdresse31;;Bug;Résolu;P3;"Un problème a été survenu avec le partenaire reflet.
Le service est rétabli.";16/06/2026;16/06/2026;1;
INC001011234795;AERO ;DROIT HABILITATION;Demande de renvoi de mail de souscription des API Eligibilité Opérateur à ladresse mail de souscription : noc@beeip.net;Akram Sahli ;Demande d'assistance;Résolu;P3;Une invitation a été renvoyée à l’adresse noc@beeip.net.;17/06/2026;17/06/2026;1;
INC001011238592;AERO ;MESSAGE D'ERREUR OU RESULTAT INATENDU;"Au lancement d'AERO le msg : ERREUR 6 : Le serveur applicatif nest pas joignable s'affiche
Il en est de même pour l'acces à l'eligibilité opérateur, mais le msg est : Une erreur inconnue est survenue, veuillez ré-essayer plus tard ou contacter le support.";Akram Sahli ;Bug;Résolu;P1;"Concernant l'erreur 6 lors du lancement d'AERO, l'URL d'accès a changé suite à la MEP d'hier. Merci d'utiliser le nouvel accès disponible via Mon Gassi (AERO OPERATEURS).
Concernant le message d'erreur rencontré dans ce cas, ainsi que l'opération technique du 18/06/2026 à 18h00, ces sujets sont actuellement pris en charge et feront l'objet d'une correction.";19/06/2026;19/06/2026;1;AERO-5285
INC001011239132;AERO ;CONNEXION IMPOSSIBLE;Nous ne pouvons nous connecter sur AERO afin de vérifier nos éligibilités;Akram Sahli ;Demande d'assistance;Résolu;P1;"Concernant l'erreur lors du lancement d'AERO, l'URL d'accès a changé suite à la MEP d'hier. Merci d'utiliser le nouvel accès disponible via MonSI en utilisant la tuile ""AER SOIAAS PROD"".";19/06/2026;19/06/2026;1;
mail;AERO ;CONNEXION IMPOSSIBLE;"Verizon nous remonte un incident sur l’outil d’éligibilité. En tentant de me connecter sur AERO j’obtiens le message d’erreur suivant :
ERREUR 6 : ""Le serveur applicatif n’est pas joignable""";Akram Sahli ;Demande d'assistance;Résolu;P3;"Concernant l’erreur rencontrée lors du lancement d’AERO « ERREUR 6 : Le serveur applicatif n’est pas joignable », l’URL d’accès a été modifiée à la suite de la MEP du 18/06.
Nous vous invitons à utiliser le nouvel accès disponible via MonSI, en sélectionnant la tuile « AER SOIAAS PROD ».";29/06/2026;29/06/2026;1;
INC001011251417;AERO ;FIBRE IHM-FTTH;Bonjour, Pouvez-vous m'aider, s'il vous plaît, à vérifier l'éligibilité pour le code IMB IMB/13001/X/0NGL ? L'outil de vérification d'éligibilité de la plateforme Orange n'affiche aucun résultat. Or, sur la carte de la fibre optique de l'Arcep, cette adresse apparaît comme pouvant être raccordée. Le client est MECALUX, situé au 1330 RUE JEAN RENÉ GUILLIBERT GAUTHIER DE LA LAUZIÈRE, BÂTIMENT B, AIX-EN-PROVENCE, 13290, France. Pourriez-vous nous faire savoir au plus vite si ce client est éligible à l'offre Just-Fibre, s'il vous plaît ?;Akram Sahli ;Demande d'assistance;Résolu;P3;"le code IMB IMB/13001/X/0NGL est bien éligible à l'offre Just Fibre.
En revanche, nous avons constaté que l'adresse associée à ce code IMB dans notre référentiel est la suivante :
1331 AV J R G GAUTIER DE LA LAUZIERE (LES MILLES), 13290 AIX-EN-PROVENCE
et non :
1330 RUE JEAN RENÉ GUILLIBERT GAUTHIER DE LA LAUZIÈRE, 13290 AIX-EN-PROVENCE.";29/06/2026;29/06/2026;1;
INC001011265173;AERO ;FIBRE IHM-FTTE;Bonjour, IMB/88114/R/000K est éligible fibre dans Elimap et Optimum mais inconnu dans Aero;Akram Sahli ;Bug;Résolu;P3;"Suite à un incident technique sur nos serveurs, nous n'avons pas pu réceptionner certains fichiers transmis par nos partenaires via le flux CFT ce qui à impacté le résultat d'éligibilité .
La situation à été rétablie , l'immeuble est de nouveau éligible . ";07/07/2026;08/07/2026;2;
INC001011267077;AERO ;API;Nous avons toujours des erreurs de connexions au API depuis l'opération FT  :  donc le ticket INC001011265439 est pour nous non résolu  : Erreur curl Operation timed out after 300316 milliseconds with 0 out of 0 bytes received;Akram Sahli ;Information Manquante;Résolu;P3;"Suite à nos tests, nous n'avons détecté aucun problème sur notre API.
Pouvez-vous, s'il vous plaît, nous envoyer une capture d'écran illustrant le problème rencontré afin que nous puissions l'analyser ?";09/07/2026;09/07/2026 00:00;1;
INC001011269457 ;AERO ;FIBRE IHM-FTTH;"Nous souhaitons passer une commande Fibre FTTH à l'adresse suivante :
11 Rue Auguste Gal, 06300 Nice
Code immeuble : IMB/06088/X/0CSL
La date de mise à disposition ayant été déclarée au 08/07/2026, nous sollicitons votre aide afin de nous permettre de concrétiser la passation de cette commande.";Akram Sahli ;Demande d'assistance;Résolu;P3;"Nous confirmons qu’un bug a été identifié dans le calcul d’éligibilité de certaines adresses, dû à un problème de données.
Le comportement a été corrigé pour le code immeuble IMB/06088/X/0CSL, suite à l’exécution du job de calcul d’éligibilité durant le week-end.";10/07/2026;13/07/2026;2;
INC001011276027;AERO ;MESSAGE D'ERREUR OU RESULTAT INATENDU;"Nous avons le check KO 
[dosiapp@#/users/dosiapp] /product/arian/current/bin/mon_check_reponse_FT.sh
Use of uninitialized value in string eq at current/bin/get_orange_api_time.pl line 56.
Use of uninitialized value in string eq at current/bin/get_orange_api_time.pl line 59.
Interrogation FT : KO (30.105776 s)
[dosiapp@#/users/dosiapp]
et le ws orange-Eligibility KO
@timestamp	OpenRest-Consommateur	Xpath-Request	OpenRest-Time-Elapsed	OpenRest-LoadBalancer	OpenRest-Time-In-OpenREST	DP	Return-Code	OpenRest-Service-URI	OpenRest-Operation-Name	OpenRest-Domain-Name	Infos-OpenREST	OpenRest-Fournisseur-VIP	OpenRest-Forwarded-For	OpenRest-Request-Size	OpenRest-Response-Size	Return-Code-OpenREST	OpenRest-Transaction-Id
15/07/2026 18:46:44	ariane_rest	-	30.065901	|https://LB_orange-OrangeApi/operatoreligibility/v1/productOfferingQualification	30.065635	sa14942	503	/api/orange/Eligibility/v1	orange-Eligibility	restful-service			10.24.1.77,10.24.1.77,10.42.3.100/openrest.services.prod	1249	713	500_KO	1784133975661505";Akram Sahli ;Demande d'assistance;Résolu;P3;AERO a été indisponible en raison d'une intervention technique.;16/07/2026;16/07/2026;1;
INC001011279133;AERO ;FIBRE IHM-FTTH;Bonjour, pour le VIA000000158776 IMB/33029/X/03R3 est éligible dans Recif et elimap mais pas dans aero ni optimum, pouvez vous mettre à jour svp? le FAI indique que c'est ok chez SFR ou Bouygues pour passer commande.;Akram Sahli ;Demande d'assistance;Résolu;P3;"Nous confirmons que le résultat d’éligibilité retourné pour le code immeuble IMB/33029/X/03R3 était incorrect.
Le comportement a été corrigé pour ce code immeuble, suite à l’exécution du job de calcul d’éligibilité durant le week-end.";17/07/2026;20/07/2026;2;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
